InstitutionId,InstitutionName,col_cat,Value,Period
333107,CAPITEC BANK,D_term_wholesale,1200853.0,2008-10-01
34118,ABSA BANK LTD,A_operational,178822363.0,2008-10-01
34118,ABSA BANK LTD,B_notice_short,56819953.0,2008-10-01
34118,ABSA BANK LTD,C_savings,53793424.0,2008-10-01
34118,ABSA BANK LTD,D_term_wholesale,199972573.0,2008-10-01
416053,FIRSTRAND BANK LIMITED,A_operational,195427882.72,2008-10-01
416053,FIRSTRAND BANK LIMITED,B_notice_short,36386432.59,2008-10-01
416053,FIRSTRAND BANK LIMITED,C_savings,1851203.98,2008-10-01
416053,FIRSTRAND BANK LIMITED,D_term_wholesale,144329583.10999998,2008-10-01
416061,THE STANDARD BANK OF S A LTD,A_operational,150495229.0,2008-10-01
416061,THE STANDARD BANK OF S A LTD,B_notice_short,102014132.0,2008-10-01
416061,THE STANDARD BANK OF S A LTD,C_savings,35785666.0,2008-10-01
416061,THE STANDARD BANK OF S A LTD,D_term_wholesale,188051972.0,2008-10-01
416088,NEDBANK LTD,A_operational,168449639.0,2008-10-01
416088,NEDBANK LTD,B_notice_short,58404132.0,2008-10-01
416088,NEDBANK LTD,C_savings,8456782.0,2008-10-01
416088,NEDBANK LTD,D_term_wholesale,155764750.0,2008-10-01
TOTAL,*TOTAL*,A_operational,773229877.42,2008-10-01
TOTAL,*TOTAL*,B_notice_short,318777090.61,2008-10-01
TOTAL,*TOTAL*,C_savings,107211598.97999999,2008-10-01
TOTAL,*TOTAL*,D_term_wholesale,814997145.78,2008-10-01
25054,INVESTEC BANK LTD,A_operational,31845696.0,2008-11-01
25054,INVESTEC BANK LTD,B_notice_short,25863859.0,2008-11-01
25054,INVESTEC BANK LTD,C_savings,2835587.0,2008-11-01
25054,INVESTEC BANK LTD,D_term_wholesale,58780734.0,2008-11-01
333107,CAPITEC BANK,A_operational,57697.0,2008-11-01
333107,CAPITEC BANK,B_notice_short,95289.0,2008-11-01
333107,CAPITEC BANK,C_savings,1253383.0,2008-11-01
333107,CAPITEC BANK,D_term_wholesale,1421564.0,2008-11-01
34118,ABSA BANK LTD,A_operational,177607557.0,2008-11-01
34118,ABSA BANK LTD,B_notice_short,51533797.0,2008-11-01
34118,ABSA BANK LTD,C_savings,55619226.0,2008-11-01
34118,ABSA BANK LTD,D_term_wholesale,215739637.0,2008-11-01
416053,FIRSTRAND BANK LIMITED,A_operational,193516967.48,2008-11-01
416053,FIRSTRAND BANK LIMITED,B_notice_short,29715354.61,2008-11-01
416053,FIRSTRAND BANK LIMITED,C_savings,1872420.48,2008-11-01
416053,FIRSTRAND BANK LIMITED,D_term_wholesale,156514942.11,2008-11-01
416061,THE STANDARD BANK OF S A LTD,A_operational,145670986.0,2008-11-01
416061,THE STANDARD BANK OF S A LTD,B_notice_short,91824673.0,2008-11-01
416061,THE STANDARD BANK OF S A LTD,C_savings,36896870.0,2008-11-01
416061,THE STANDARD BANK OF S A LTD,D_term_wholesale,212264078.0,2008-11-01
416088,NEDBANK LTD,A_operational,163121768.0,2008-11-01
416088,NEDBANK LTD,B_notice_short,52345617.0,2008-11-01
416088,NEDBANK LTD,C_savings,8599115.0,2008-11-01
416088,NEDBANK LTD,D_term_wholesale,171408391.0,2008-11-01
TOTAL,*TOTAL*,A_operational,762835399.1,2008-11-01
TOTAL,*TOTAL*,B_notice_short,278795290.24,2008-11-01
TOTAL,*TOTAL*,C_savings,110192824.47999999,2008-11-01
TOTAL,*TOTAL*,D_term_wholesale,890926160.2,2008-11-01
25054,INVESTEC BANK LTD,A_operational,32034301.0,2008-12-01
25054,INVESTEC BANK LTD,B_notice_short,35759755.0,2008-12-01
25054,INVESTEC BANK LTD,C_savings,2960897.0,2008-12-01
25054,INVESTEC BANK LTD,D_term_wholesale,50144512.0,2008-12-01
333107,CAPITEC BANK,A_operational,23869.0,2008-12-01
333107,CAPITEC BANK,B_notice_short,118801.0,2008-12-01
333107,CAPITEC BANK,C_savings,1209658.0,2008-12-01
333107,CAPITEC BANK,D_term_wholesale,1489145.0,2008-12-01
34118,ABSA BANK LTD,A_operational,163752575.0,2008-12-01
34118,ABSA BANK LTD,B_notice_short,65575949.0,2008-12-01
34118,ABSA BANK LTD,C_savings,56603225.0,2008-12-01
34118,ABSA BANK LTD,D_term_wholesale,208566048.0,2008-12-01
416053,FIRSTRAND BANK LIMITED,A_operational,201502416.25,2008-12-01
416053,FIRSTRAND BANK LIMITED,B_notice_short,41457759.089999996,2008-12-01
416053,FIRSTRAND BANK LIMITED,C_savings,1856576.71,2008-12-01
416053,FIRSTRAND BANK LIMITED,D_term_wholesale,143588956.88,2008-12-01
416061,THE STANDARD BANK OF S A LTD,A_operational,152757636.0,2008-12-01
416061,THE STANDARD BANK OF S A LTD,B_notice_short,107913506.0,2008-12-01
416061,THE STANDARD BANK OF S A LTD,C_savings,37045647.0,2008-12-01
416061,THE STANDARD BANK OF S A LTD,D_term_wholesale,193008479.0,2008-12-01
416088,NEDBANK LTD,A_operational,166840357.0,2008-12-01
416088,NEDBANK LTD,B_notice_short,71299011.0,2008-12-01
416088,NEDBANK LTD,C_savings,8336750.0,2008-12-01
416088,NEDBANK LTD,D_term_wholesale,147481093.0,2008-12-01
TOTAL,*TOTAL*,A_operational,763761066.1800001,2008-12-01
TOTAL,*TOTAL*,B_notice_short,342911701.52,2008-12-01
TOTAL,*TOTAL*,C_savings,110945119.71,2008-12-01
TOTAL,*TOTAL*,D_term_wholesale,820045962.81,2008-12-01
25054,INVESTEC BANK LTD,A_operational,32250811.0,2009-01-01
25054,INVESTEC BANK LTD,B_notice_short,31423710.0,2009-01-01
25054,INVESTEC BANK LTD,C_savings,2869104.0,2009-01-01
25054,INVESTEC BANK LTD,D_term_wholesale,57133478.0,2009-01-01
333107,CAPITEC BANK,A_operational,50921.0,2009-01-01
333107,CAPITEC BANK,B_notice_short,305693.0,2009-01-01
333107,CAPITEC BANK,C_savings,1182327.0,2009-01-01
333107,CAPITEC BANK,D_term_wholesale,1413614.0,2009-01-01
34118,ABSA BANK LTD,A_operational,166628443.0,2009-01-01
34118,ABSA BANK LTD,B_notice_short,54947988.0,2009-01-01
34118,ABSA BANK LTD,C_savings,56777167.0,2009-01-01
34118,ABSA BANK LTD,D_term_wholesale,226596577.0,2009-01-01
416053,FIRSTRAND BANK LIMITED,A_operational,186132194.22,2009-01-01
416053,FIRSTRAND BANK LIMITED,B_notice_short,36607955.949999996,2009-01-01
416053,FIRSTRAND BANK LIMITED,C_savings,1805319.3699999999,2009-01-01
416053,FIRSTRAND BANK LIMITED,D_term_wholesale,153547569.39,2009-01-01
416061,THE STANDARD BANK OF S A LTD,A_operational,144526781.0,2009-01-01
416061,THE STANDARD BANK OF S A LTD,B_notice_short,101674371.0,2009-01-01
416061,THE STANDARD BANK OF S A LTD,C_savings,36340316.0,2009-01-01
416061,THE STANDARD BANK OF S A LTD,D_term_wholesale,198276276.0,2009-01-01
416088,NEDBANK LTD,A_operational,161564907.0,2009-01-01
416088,NEDBANK LTD,B_notice_short,72784813.0,2009-01-01
416088,NEDBANK LTD,C_savings,8119183.0,2009-01-01
416088,NEDBANK LTD,D_term_wholesale,158148261.0,2009-01-01
TOTAL,*TOTAL*,A_operational,735855932.32,2009-01-01
TOTAL,*TOTAL*,B_notice_short,331174918.05,2009-01-01
TOTAL,*TOTAL*,C_savings,109982625.36999999,2009-01-01
TOTAL,*TOTAL*,D_term_wholesale,869417820.96,2009-01-01
25054,INVESTEC BANK LTD,A_operational,32557496.0,2009-02-01
25054,INVESTEC BANK LTD,B_notice_short,27014602.0,2009-02-01
25054,INVESTEC BANK LTD,C_savings,2792488.0,2009-02-01
25054,INVESTEC BANK LTD,D_term_wholesale,61594571.0,2009-02-01
333107,CAPITEC BANK,A_operational,92291.0,2009-02-01
333107,CAPITEC BANK,B_notice_short,67039.0,2009-02-01
333107,CAPITEC BANK,C_savings,1306367.0,2009-02-01
333107,CAPITEC BANK,D_term_wholesale,1716944.0,2009-02-01
34118,ABSA BANK LTD,A_operational,155402588.0,2009-02-01
34118,ABSA BANK LTD,B_notice_short,62616277.0,2009-02-01
34118,ABSA BANK LTD,C_savings,57960716.0,2009-02-01
34118,ABSA BANK LTD,D_term_wholesale,230863120.0,2009-02-01
416053,FIRSTRAND BANK LIMITED,A_operational,182309590.0,2009-02-01
416053,FIRSTRAND BANK LIMITED,B_notice_short,36844212.57,2009-02-01
416053,FIRSTRAND BANK LIMITED,C_savings,1829094.79,2009-02-01
416053,FIRSTRAND BANK LIMITED,D_term_wholesale,156738213.55,2009-02-01
416061,THE STANDARD BANK OF S A LTD,A_operational,141469125.0,2009-02-01
